2026-02-05 14:21:34,960 | __main__ | INFO | Starting Overheating Classifier server on {args.host}:{args.port}
2026-02-05 14:21:34,989 | werkzeug | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:6975
2026-02-05 14:21:34,989 | werkzeug | INFO | [33mPress CTRL+C to quit[0m
2026-02-05 14:21:55,664 | __main__ | INFO | Starting Overheating Classifier server on {args.host}:{args.port}
2026-02-05 14:21:55,686 | werkzeug | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:7245
2026-02-05 14:21:55,686 | werkzeug | INFO | [33mPress CTRL+C to quit[0m
2026-02-05 14:22:08,573 | __main__ | INFO | Starting Overheating Classifier server on {args.host}:{args.port}
2026-02-05 14:22:08,594 | werkzeug | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:7245
2026-02-05 14:22:08,594 | werkzeug | INFO | [33mPress CTRL+C to quit[0m
2026-02-05 14:22:43,899 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:22:43] "GET / HTTP/1.1" 200 -
2026-02-05 14:22:44,985 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:22:44] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-02-05 14:23:17,330 | trimesh.util | DEBUG | searching for blender in: C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.1\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.6\bin;C:\cygwin64\bin;C:\Program Files\nodejs;C:\Program Files\Git\usr\bin\core_perl;C:\Program Files\Git\cmd;C:\Program Files\Eclipse Adoptium\jdk-11.0.27.6-hotspot\bin;C:\WINDOWS;C:\Users\huayu\bin;C:\Program Files\Git\usr\bin;C:\WINDOWS\System32\WindowsPowerShell\v1.0;C:\Program Files\NVIDIA Corporation\Nsight Compute 2025.4.1;C:\Program Files\Git\usr\local\bin;C:\Users\huayu\.local\bin;C:\Windows;C:\Users\huayu\AppData\Local\Programs\Python\Python314;C:\Program Files\Microsoft MPI\Bin;C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR;C:\WINDOWS\System32\Wbem;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit;B:\ABAQUS\2025\Commands;C:\Windows\System32\Wbem;C:\WINDOWS\system32;C:\Users\huayu\AppData\Local\Programs\Python\Python314\Scripts;C:\Program Files\Git\opt\bin;C:\Windows\system32;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.6\libnvvp;C:\Windows\System32\OpenSSH;C:\Program Files\WezTerm;C:\Users\huayu\AppData\Roaming\npm;C:\WINDOWS\System32\OpenSSH;C:\Program Files\WindowsApps\Microsoft.PowerShell_7.5.4.0_x64__8wekyb3d8bbwe;B:\Microsoft VS Code\bin;C:\Program Files\Git\usr\bin\vendor_perl;C:\Users\huayu\AppData\Local\Programs\Python\Launcher;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.1\bin\x64;C:\Users\huayu\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand;C:\Program Files\dotnet;C:\Program Files\GitHub CLI;C:\Users\huayu\AppData\Local\Microsoft\WindowsApps;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
2026-02-05 14:23:17,344 | trimesh.util | DEBUG | falling back to hashlib hashing: `pip install xxhash`for 50x faster cache checks
2026-02-05 14:23:17,948 | src.data.stl_loader | INFO | Loading STL: C:\Users\huayu\Local\Desktop\Overheating_Classifier\CAD\SmartFusion_Calibration_Square.stl
2026-02-05 14:23:17,949 | src.data.stl_loader | INFO | Loaded STL: 28 triangles, dimensions 15.00 x 15.00 x 10.00 mm
2026-02-05 14:23:17,950 | __main__ | INFO | Test STL loaded: C:\Users\huayu\Local\Desktop\Overheating_Classifier\CAD\SmartFusion_Calibration_Square.stl
2026-02-05 14:23:17,950 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:23:17] "POST /api/load_test_stl?index=1 HTTP/1.1" 200 -
2026-02-05 14:23:18,270 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:23:18] "GET /api/stl_preview?build_direction=Z HTTP/1.1" 200 -
2026-02-05 14:23:44,576 | __main__ | INFO | Created session: f8a13f2e
2026-02-05 14:23:44,577 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:23:44] "POST /api/run HTTP/1.1" 200 -
2026-02-05 14:23:44,942 | werkzeug | INFO | 127.0.0.1 - - [05/Feb/2026 14:23:44] "GET /api/progress/f8a13f2e HTTP/1.1" 200 -
2026-02-05 14:23:44,943 | src.data.stl_loader | INFO | Loading STL: C:\Users\huayu\Local\Desktop\Overheating_Classifier\CAD\SmartFusion_Calibration_Square.stl
2026-02-05 14:23:44,944 | src.data.stl_loader | INFO | Loaded STL: 28 triangles, dimensions 15.00 x 15.00 x 10.00 mm
2026-02-05 14:23:44,945 | src.data.stl_loader | INFO | Slicing into 10 layers (grouping=25), grid size 152 x 152
2026-02-05 14:23:46,386 | src.data.stl_loader | INFO | Slicing complete: 10 layers, 177659 solid voxels, 10 with contours
2026-02-05 14:23:46,389 | src.compute.geometry_score | INFO | Calculating geometry multiplier: sigma=1mm, G_max=99 (causal half-sphere)
2026-02-05 14:23:46,389 | src.compute.geometry_score | DEBUG | Sigma in voxels: XY=10.00, Z=25.00
2026-02-05 14:23:46,390 | src.compute.geometry_score | INFO | Kernel radius: Z=9 layers, XY=15 voxels
